ServiceId,API,Type,Description,Value,Unit,Window,Timestamp
CatalogService,catalog/v1,Availability,Availability SLI for catalog/v1,99.90,percent,28,2026-03-01T00:00:00Z
CatalogService,catalog/v1,ErrorRate,ErrorRate SLI for catalog/v1,1.31,percent,28,2026-03-01T00:00:00Z
CatalogService,catalog/v1,Latency,Latency SLI (p95) for catalog/v1 in ms,132.0,p95,28,2026-03-01T00:00:00Z
CatalogService,catalog/v1,Availability,Availability SLI for catalog/v1,99.88,percent,28,2026-02-01T00:00:00Z
CatalogService,catalog/v1,ErrorRate,ErrorRate SLI for catalog/v1,1.30,percent,28,2026-02-01T00:00:00Z
CatalogService,catalog/v1,Latency,Latency SLI (p95) for catalog/v1 in ms,137.0,p95,28,2026-02-01T00:00:00Z
CatalogService,catalog/v1,Availability,Availability SLI for catalog/v1,99.85,percent,28,2026-01-01T00:00:00Z
CatalogService,catalog/v1,ErrorRate,ErrorRate SLI for catalog/v1,1.29,percent,28,2026-01-01T00:00:00Z
CatalogService,catalog/v1,Latency,Latency SLI (p95) for catalog/v1 in ms,142.0,p95,28,2026-01-01T00:00:00Z
CatalogService,catalog/v1,Availability,Availability SLI for catalog/v1,99.87,percent,28,2025-12-01T00:00:00Z
CatalogService,catalog/v1,ErrorRate,ErrorRate SLI for catalog/v1,1.30,percent,28,2025-12-01T00:00:00Z
CatalogService,catalog/v1,Latency,Latency SLI (p95) for catalog/v1 in ms,149.0,p95,28,2025-12-01T00:00:00Z
CatalogService,catalog/v1,Availability,Availability SLI for catalog/v1,99.82,percent,28,2025-11-01T00:00:00Z
CatalogService,catalog/v1,ErrorRate,ErrorRate SLI for catalog/v1,1.29,percent,28,2025-11-01T00:00:00Z
CatalogService,catalog/v1,Latency,Latency SLI (p95) for catalog/v1 in ms,155.0,p95,28,2025-11-01T00:00:00Z
CatalogService,catalog/v1,Availability,Availability SLI for catalog/v1,99.80,percent,28,2025-10-01T00:00:00Z
CatalogService,catalog/v1,ErrorRate,ErrorRate SLI for catalog/v1,1.28,percent,28,2025-10-01T00:00:00Z
CatalogService,catalog/v1,Latency,Latency SLI (p95) for catalog/v1 in ms,161.0,p95,28,2025-10-01T00:00:00Z
PricingService,pricing/v1,Availability,Availability SLI for pricing/v1,99.90,percent,28,2026-03-01T00:00:00Z
PricingService,pricing/v1,ErrorRate,ErrorRate SLI for pricing/v1,1.65,percent,28,2026-03-01T00:00:00Z
PricingService,pricing/v1,Latency,Latency SLI (p95) for pricing/v1 in ms,132.0,p95,28,2026-03-01T00:00:00Z
PricingService,pricing/v1,Availability,Availability SLI for pricing/v1,99.88,percent,28,2026-02-01T00:00:00Z
PricingService,pricing/v1,ErrorRate,ErrorRate SLI for pricing/v1,1.64,percent,28,2026-02-01T00:00:00Z
